Avg_Duration,Fast_EMA,Slow_EMA,Signal_period,Avg_profit,Avg_loss,p_l_ratio
6,5,10,5,243.59,-138.68,1.100704012
7,5,26,5,294.56,-146.5,1.150461249
8,5,200,5,327.33,-143.3,1.189398381
9,5,50,7,314.65,-164.72,1.133141771
10,5,150,7,358.03,-157.38,1.2620109
11,5,100,9,374.82,-167.83,1.230953033
12,5,75,12,411.48,-166.06,1.208717085
13,5,50,20,423.34,-189.16,1.178475056
14,15,50,7,418.61,-190.05,1.263457703
15,15,75,7,461.87,-190.32,1.330836859
16,25,35,7,444.92,-211.41,1.336828164
17,12,50,12,477.07,-207.05,1.314631791
18,25,200,5,488.37,-196.52,1.274386686
19,12,35,20,515.73,-223.77,1.252937445
20,25,100,7,502.35,-233.91,1.231732622
21,25,35,15,520.34,-263.1,1.174259273
22,25,26,20,494.95,-262.15,1.248047015
23,30,50,12,536.31,-275.07,1.142930568
24,20,50,20,557.96,-281.84,1.131279947
25,30,50,15,541.52,-303.33,1.126623584
26,30,35,20,568.7,-293.41,1.155472464
27,30,150,12,599.83,-278.42,1.017346819
28,30,100,15,590.09,-318.85,0.9711569066
30,25,150,20,622.84,-315.69,1.018309579
32,30,200,15,644.24,-319,1.092948895
33,25,200,20,607.58,-330.8,1.184183939
35,30,150,20,616.88,-321.97,1.250687493
36,30,200,20,668.07,-291.15,1.43411424
