RSI,SMA,Avg_Duration,p_l_ratio,Avg_profit,Avg_loss,Max_loss,Min_loss,Max_Profit,Min_Profit
10,3,3,1.349539967,179.49,-89.17,-1379.4,-0.05,1260.25,0.3
20,6,4,1.20513662,220.87,-107.55,-1379.4,-0.6,1765.5,0.55
34,8,5,1.324181689,247.09,-109.68,-1405.65,-0.75,3335.4,0.15
40,10,6,1.422221587,282.9,-108.05,-1405.65,-1.8,3763,0.55
7,41,7,1.538425029,300.44,-107.54,-1405.65,-0.75,3763,0.55
8,38,8,1.549684115,331.4,-111.6,-1379.4,-0.75,3511.55,0.55
27,21,9,1.562603297,368.55,-117.18,-1379.4,-2.15,3763,0.15
14,200,10,1.496100578,400.19,-100.08,-1405.65,-0.85,2846.7,5.3
15,200,11,1.453695323,401.51,-104.7,-1405.65,-4.35,2846.7,7.55
44,46,12,1.493682639,412.05,-122.2,-1405.65,-0.35,3112.65,0.45
49,46,13,1.535275526,430.59,-123.35,-1405.65,-0.35,2957.8,0.45
50,47,14,1.496037555,439.68,-126.15,-1405.65,-0.35,2957.8,0.45
44,62,15,1.437371973,432.95,-143.99,-1427.5,-0.35,2910.65,0.4
45,66,16,1.378953014,465.49,-139.74,-1405.65,-0.35,2942.25,3.15
48,133,17,1.258056686,435.67,-143.94,-1836.8,-1.7,2917.25,0.25
49,151,18,1.094045694,525.55,-153.49,-1836.8,-2.25,3838.45,6.35
